,종목명,현재가,전일대비,등락률
0,딥노이드,"4,895",하락 -835,-14.57%
1,그린리소스,"10,700","하락 -1,050",-8.94%
2,STX엔진,"43,700","하락 -3,850",-8.10%
3,동성화인텍,"31,500","하락 -2,550",-7.49%
4,솔루엠,"18,180","하락 -1,170",-6.05%
5,우리기술투자,"10,300",하락 -660,-6.02%
6,한국카본,"33,450","하락 -2,100",-5.91%
7,세진중공업,"22,200","하락 -1,300",-5.53%
8,더존비즈온,"80,500","하락 -4,600",-5.41%
9,에스티팜,"93,300","하락 -5,000",-5.09%
10,한미약품,"290,500","하락 -15,500",-5.07%
11,에스엔시스,"48,950","하락 -2,250",-4.39%
12,태광,"26,250","하락 -1,100",-4.02%
13,성광벤드,"33,950","하락 -1,400",-3.96%
14,메지온,"53,600","하락 -2,200",-3.94%
