,종목명,현재가,전일대비,등락률
0,오리엔탈정공,"11,410",상승 510,+4.68%
1,원익홀딩스,"11,400","상승 2,060",+22.06%
2,삼현,"17,370","상승 2,500",+16.81%
3,세진중공업,"22,200","하락 1,300",-5.53%
4,네오셈,"9,120",상승 700,+8.31%
5,하나마이크론,"15,610","상승 1,590",+11.34%
6,미래에셋증권,"21,650","상승 1,950",+9.90%
7,두산에너빌리티,"62,200","상승 1,300",+2.13%
8,한선엔지니어링,"8,650",상승 480,+5.88%
9,삼성전자,"71,000",상승 900,+1.28%
10,삼성중공업,"20,950",하락 300,-1.41%
11,메타바이오메드,"6,340",하락 60,-0.94%
12,엘앤씨바이오,"50,600","상승 1,650",+3.37%
13,제주반도체,"18,060",상승 350,+1.98%
14,에스엔시스,"48,950","하락 2,250",-4.39%
