,종목명,현재가,전일대비,등락률
0,동일스틸럭스,"3,640",상한가 840,+30.00%
1,셀루메드,802,상한가 185,+29.98%
2,디에이피,"2,510",상한가 578,+29.92%
3,일승,"8,180","상승 1,650",+25.27%
4,상상인증권,847,상승 166,+24.38%
5,금강철강,"4,970",상승 915,+22.56%
6,원익홀딩스,"11,390","상승 2,050",+21.95%
7,KD,933,상승 166,+21.64%
8,조선선재,"132,500","상승 23,400",+21.45%
9,에이팩트,"3,480",상승 515,+17.37%
10,삼현,"17,420","상승 2,550",+17.15%
11,동방선기,"5,840",상승 810,+16.10%
12,한스바이오메드,"9,560","상승 1,310",+15.88%
13,뉴로핏,"15,160","상승 2,000",+15.20%
14,젬백스,"56,500","상승 7,250",+14.72%
