,종목명,현재가,전일대비,등락률
0,원익홀딩스,"11,400","상승 2,060",+22.06%
1,삼현,"17,370","상승 2,500",+16.81%
2,젬백스,"56,500","상승 7,250",+14.72%
3,하나마이크론,"15,610","상승 1,590",+11.34%
4,심텍,"27,500","상승 2,650",+10.66%
5,미래에셋증권,"21,650","상승 1,950",+9.90%
6,코스메카코리아,"65,700","상승 5,600",+9.32%
7,HS효성,"60,700","상승 4,800",+8.59%
8,네오셈,"9,120",상승 700,+8.31%
9,코리아써키트,"14,140","상승 1,040",+7.94%
10,셀비온,"23,650","상승 1,700",+7.74%
11,테스,"30,850","상승 2,150",+7.49%
12,키움증권,"228,000","상승 15,500",+7.29%
13,기가비스,"29,050","상승 1,950",+7.20%
14,동진쎄미켐,"31,350","상승 2,100",+7.18%
